alpha,family,K,order,steps,m,samples,rotations,twoq,trace_distance,infidelity,seconds
3.0,composite,128,2,16,512,8192,16384,58681.1081853561,8.22466209105781e-06,6.766309734729248e-11,23.453645706176758
3.0,composite,128,4,1,32,160,12960,45978.61539424524,5.058724010185672e-06,9.40052480302711e-11,0.9647977352142334
3.0,composite,128,4,1,128,640,13440,47714.461576980946,5.058699016182983e-06,4.2702508196157396e-11,2.220792055130005
3.0,composite,128,4,1,512,2560,15360,54657.846307923784,5.058692826562645e-06,2.98919777819151e-11,7.314934015274048
3.0,composite,128,4,2,32,320,25920,91957.23078849047,2.0700729881685225e-07,3.4260372316907706e-11,1.9084088802337646
3.0,composite,128,4,2,128,1280,26880,95428.92315396189,2.0699479924393842e-07,8.56037463137227e-12,4.445557117462158
3.0,composite,128,4,2,512,5120,30720,109315.69261584757,2.0699177335343202e-07,2.6363355942748967e-12,14.687627077102661
3.0,composite,128,4,4,32,640,51840,183914.46157698095,1.1787997644813676e-08,1.7351342584959184e-11,3.788377046585083
3.0,composite,128,4,4,128,2560,53760,190857.84630792378,1.1781778913419677e-08,4.497291428151584e-12,8.89451003074646
3.0,composite,128,4,4,512,10240,61440,218631.38523169514,1.1780622830363534e-08,6.572520305780927e-13,29.393763065338135
3.0,composite,256,2,1,64,64,1088,3880.565456251873,0.002300557177795851,5.29256415182644e-06,12.296217918395996
3.0,composite,256,2,1,256,256,1280,4530.261825007493,0.0023005571775107196,5.292563542536044e-06,0.7820050716400146
3.0,composite,256,2,1,1024,1024,2048,7129.04730002997,0.0023005571776665993,5.292563336367628e-06,2.843201160430908
3.0,composite,256,2,2,64,128,2176,7761.130912503746,0.000537664255154759,2.890832760948925e-07,0.5603079795837402
3.0,composite,256,2,2,256,512,2560,9060.523650014986,0.0005376642550570998,2.890829791102334e-07,1.5710110664367676
3.0,composite,256,2,2,1024,2048,4096,14258.09460005994,0.0005376642553983483,2.890828705304216e-07,5.642466068267822
3.0,composite,256,2,4,64,256,4352,15522.261825007492,0.00013225831677764432,1.7492462367485473e-08,1.1009058952331543
3.0,composite,256,2,4,256,1024,5120,18121.04730002997,0.00013225831683221664,1.7492251536133097e-08,3.141700029373169
3.0,composite,256,2,4,1024,4096,8192,28516.18920011988,0.00013225831738910887,1.7492231219051746e-08,11.290328979492188
3.0,composite,256,2,8,64,512,8704,31044.523650014984,3.293235955669539e-05,1.08456310599081e-09,2.190700054168701
3.0,composite,256,2,8,256,2048,10240,36242.09460005994,3.293235970904226e-05,1.0844722897473957e-09,6.256216049194336
3.0,composite,256,2,8,1024,8192,16384,57032.37840023976,3.2932360475611575e-05,1.0844070086335478e-09,22.691637992858887
3.0,composite,256,2,16,64,1024,17408,62089.04730002997,8.224866609654268e-06,6.764055981989259e-11,4.44888973236084
3.0,composite,256,2,16,256,4096,20480,72484.18920011989,8.224866852546312e-06,6.762146398386903e-11,12.526726961135864
3.0,composite,256,2,16,1024,16384,32768,114064.75680047952,8.224867890872955e-06,6.771094795965382e-11,45.24077892303467
3.0,composite,256,4,1,64,320,25920,92682.82728125936,5.0562517871329375e-06,2.6403768060845323e-11,1.3956360816955566
3.0,composite,256,4,1,256,1280,26880,95931.30912503746,5.056251542289843e-06,2.578715019296851e-11,3.9060893058776855
3.0,composite,256,4,1,1024,5120,30720,108925.23650014985,5.056252075510925e-06,2.5459301333796702e-11,14.107255220413208
3.0,composite,256,4,2,64,640,51840,185365.65456251873,2.068193758981129e-07,1.1579626146840383e-13,2.781604766845703
3.0,composite,256,4,2,256,2560,53760,191862.6182500749,2.0681943974583948e-07,-4.276579090856103e-13,7.829094171524048
3.0,composite,256,4,2,1024,10240,61440,217850.4730002997,2.0682025970234594e-07,-4.776179451937423e-13,28.488787174224854
3.0,composite,256,4,4,64,1280,103680,370731.30912503746,1.1769108273918943e-08,-1.1546319456101628e-13,5.49471116065979
3.0,composite,256,4,4,256,5120,107520,383725.2365001498,1.176934347350519e-08,-4.711786516509164e-13,15.698580026626587
