theta,p,pair,phi,se_phi,q,se_q,x,y,se_x,se_y,rate,se_rate,n,exact_phi,exact_q,exact_rate,exact_x,exact_y,sum_of_angles,ideal_phi,composed_q
0.6283185307179586,0.0,nn,-0.013288254353123216,0.020377312918285435,-4.4147674055472486e-05,0.00013540938299151574,1.0,-0.013289036544850499,0.0,0.020380911521023733,0.15786666666666666,0.002105111099381869,4736,0.0,0.0,0.1565962712997373,1.0,0.0,0.0,0.0,3.3306690738754696e-16
0.7068583470577035,0.0,tt,0.0008220302299674669,0.014336995122654683,-1.6893347232205258e-07,5.892725017119367e-06,1.0,0.0008220304151253596,0.0,0.014337004810649794,0.32793333333333335,0.002710430852725708,9838,-1.1615312396040585e-16,0.0,0.32856556216687743,1.0,-1.1615312396040585e-16,0.0,0.0,0.0
0.7068583470577035,0.0,tn,-2.7230713746344195,0.01405269690073093,-0.0026642768290252583,0.004307449136943727,-0.9185595567867036,-0.4085753803596127,0.006579823830406395,0.015182583286181463,0.24083333333333334,0.0024686881731592384,7225,-2.7253499112917874,0.0,0.24464082489355768,-0.9146145527864012,-0.40432687250704863,-2.725349911291787,-2.7253499112917874,-1.1102230246251565e-16
0.7068583470577035,0.0,nt,2.753080962987125,0.014266857887645165,0.0013171973924946956,0.004088297481470282,-0.9230358097274185,0.3778135048231511,0.006289906417226171,0.015158034257972443,0.24913333333333335,0.002497104426834913,7474,2.725349911291787,0.0,0.24464082489355762,-0.9146145527864011,0.4043268725070491,2.725349911291787,2.7253499112917874,-1.1102230246251565e-16
0.7068583470577035,0.0,nn,0.00609967318457252,0.018944589793736557,-9.301647438397787e-06,5.7779694623960494e-05,1.0,0.006099748833871547,0.0,0.018945294663873454,0.1821,0.0022281501295918103,5463,1.020795095018256e-16,-1.1102230246251565e-16,0.18215278804600696,1.0000000000000002,1.0207950950182563e-16,0.0,0.0,-2.220446049250313e-16
0.7853981633974483,0.0,tt,-0.011016503464322919,0.014554454923278946,-3.034237149790453e-05,8.017771018485605e-05,1.0,-0.011016949152542373,0.0,0.01455622144359066,0.3149,0.0026816536564838746,9447,-3.289549702593056e-17,0.0,0.31640624999999994,1.0,-3.289549702593056e-17,0.0,0.0,2.220446049250313e-16
0.7853981633974483,0.0,tn,-3.139968399468625,0.01645540696767621,-6.595510875229138e-07,1.3363910671932321e-05,-1.0,-0.0016242555495397943,0.0,0.016455450380431086,0.2444,0.002481052464849007,7332,-3.141592653589793,0.0,0.24609374999999986,-1.0,-1.2246467991473532e-16,3.141592653589793,-3.141592653589793,0.0
0.7853981633974483,0.0,nt,3.136436661287828,0.016474903176560987,-6.646137772237104e-06,4.2473177902952235e-05,-1.0,0.005156037991858887,0.0,0.016475341157377033,0.24676666666666666,0.002489128889718174,7403,3.141592653589793,0.0,0.24609374999999994,-1.0,1.2246467991473532e-16,-3.141592653589793,3.141592653589793,0.0
0.7853981633974483,0.0,nn,-0.006549372056354947,0.018568339040500648,-1.0723760244690794e-05,6.080765398506045e-05,1.0,-0.006549465701482247,0.0,0.01856913553870606,0.19393333333333335,0.002282711805109262,5818,5.551115123125786e-17,0.0,0.1914062499999999,1.0,5.551115123125786e-17,0.0,0.0,-2.220446049250313e-16
0.0,0.02,tt,-0.011671909467990876,0.009439583413446013,0.0001432881863754898,0.0001369448661688174,0.9996453271856712,-0.011668299634808943,0.0002507804322637221,0.009437520643734322,0.7501666666666666,0.00249944419747597,22505,0.0,0.00011898373575069954,0.7537334564094971,0.9997620325284986,0.0,0.0,0.0,0.00011898373575081056
0.0,0.02,tn,0.02027693683903642,0.02724252925101316,0.05938464134188792,0.005716793297481314,0.8810495626822158,0.017867435158501442,0.011425566228892249,0.024010771741206846,0.115,0.0018418740456393862,3450,0.0,0.057684637728920796,0.1144447835905026,0.8846307245421584,0.0,0.0,0.0,0.05768463772891913
0.0,0.02,nt,-0.026434007398694382,0.026438458033256344,0.05009981976169031,0.005230184476253962,0.8994860079954312,-0.02378255945639864,0.010445092392956419,0.02379604544794656,0.11723333333333333,0.0018573249481345377,3517,0.0,0.0576846377289193,0.11444478359050267,0.8846307245421614,0.0,0.0,0.0,0.05768463772891913
0.0,0.02,nn,-0.08535361765934654,0.07792019224221088,0.11186829179202407,0.01994312753281023,0.7734375,-0.0661764705882353,0.03969464000927186,0.060612515444936566,0.0176,0.0007591714782138047,528,0.0,0.10862110515199941,0.01737697640949766,0.7827577896960012,0.0,0.0,0.0,0.10862110515199885
0.07853981633974483,0.02,tt,0.009699638418876848,0.009521176183198062,6.743304218437274e-05,0.0001019950137030661,0.9998180991359709,0.009698178192694643,0.00018190086402910415,0.009520339783435904,0.7342666666666666,0.0025502884078007658,22028,-1.880961992373934e-17,0.0001517799034528866,0.7380267055841908,0.9996964401930942,-1.8803910079147318e-17,0.0,0.0,0.0001517799034532752
0.07853981633974483,0.02,tn,0.017493703467435912,0.02748108834645069,0.0710141217313614,0.0059897477799105,0.8578404774823657,0.01500833796553641,0.01197422392682478,0.023580675307069497,0.1214,0.0018855771883784904,3642,-0.0155657876240766,0.06225471084037604,0.12105810139599907,0.8753845175155774,-0.013627150097904456,-0.015565787624076925,-0.23646857190795348,0.06225471084037687
