theta,p,cls,p_plus,se,n,rate,se_rate,exact,exact_rate
0.7853981633974483,0.0,t,0.857987106017192,0.004671651694910395,5584,0.5584,0.004965777280547326,0.8535533905932735,0.5624999999999999
0.7853981633974483,0.0,n,0.13677536231884058,0.005171309092558601,4416,0.4416,0.004965777280547326,0.1464466094067262,0.4375000000000001
0.8508480103472356,0.0,t,0.7995802728226653,0.005294405153451693,5718,0.5718,0.004948179059007465,0.7962726886049668,0.569953725499266
0.8508480103472356,0.0,n,0.08173750583839329,0.0041871787367889265,4282,0.4282,0.004948179059007465,0.0842651938487276,0.43004627450073396
0.916297857297023,0.0,t,0.7410440122824975,0.005722016677536247,5862,0.5862,0.0049251351250498695,0.7361206223155832,0.5918069429221539
0.916297857297023,0.0,n,0.04156597390043498,0.003103182601178823,4138,0.4138,0.00492513512504987,0.0380602337443568,0.40819305707784614
0.9817477042468102,0.0,t,0.6738752959747435,0.0058903701582725294,6335,0.6335,0.0048184826449827545,0.6785939738411808,0.6265703916154425
0.9817477042468102,0.0,n,0.010095497953615307,0.0016515160160856775,3665,0.3665,0.0048184826449827545,0.00960735979838484,0.3734296083845575
1.0471975511965976,0.0,t,0.6310120979640012,0.005861464832685769,6778,0.6778,0.004673191200881899,0.627906976744186,0.6718749999999999
1.0471975511965976,0.0,n,0.0,0.0,3222,0.3222,0.004673191200881898,5.551115123125783e-17,0.3281250000000001
1.112647398146385,0.0,t,0.5762758620689655,0.005803871214459276,7250,0.725,0.004465142774872938,0.5863211892174659,0.7246333338838233
1.112647398146385,0.0,n,0.009818181818181837,0.0018805532652580938,2750,0.275,0.004465142774872938,0.009607359798384896,0.27536666611617666
1.1780972450961724,0.0,t,0.5564805327868853,0.0056226265865512715,7808,0.7808,0.0041370443555756075,0.554344912983663,0.7812499999999999
1.1780972450961724,0.0,n,0.036496350364963515,0.004006177724615514,2192,0.2192,0.004137044355575608,0.03806023374435685,0.2187500000000001
1.2435470920459597,0.0,t,0.5243597379392495,0.005450916022630264,8395,0.8395,0.003670691351775575,0.5313120321297141,0.8378666661161762
1.2435470920459597,0.0,n,0.08411214953271029,0.006930240926390384,1605,0.1605,0.0036706913517755755,0.0842651938487271,0.16213333388382378
1.308996938995747,0.0,t,0.5096446700507614,0.005309753009686345,8865,0.8865,0.003172030107045014,0.5159360740975684,0.8906249999999998
1.308996938995747,0.0,n,0.14889867841409693,0.010571327480953007,1135,0.1135,0.003172030107045013,0.14644660940672583,0.10937500000000022
1.3744467859455345,0.0,t,0.4961439588688946,0.005174875761602692,9336,0.9336,0.0024897999919672267,0.5066833387907519,0.935929608384557
1.3744467859455345,0.0,n,0.24849397590361444,0.016782915244600183,664,0.0664,0.0024897999919672262,0.2222148834901987,0.06407039161544303
1.4398966328953218,0.0,t,0.498043254376931,0.0050743384206727235,9710,0.971,0.0016780643611018031,0.5019707409662951,0.9706930570778456
1.4398966328953218,0.0,n,0.2896551724137931,0.026682488685444778,290,0.029,0.0016780643611018023,0.3086582838174552,0.02930694292215441
1.505346479845109,0.0,t,0.4995965301593706,0.005021891320548139,9914,0.9914,0.0009233655830709769,0.5002455815429733,0.9925462745007332
1.505346479845109,0.0,n,0.36046511627906974,0.052077997637591814,86,0.0086,0.0009233655830709741,0.4024548389919352,0.007453725499266817
1.5707963267948966,0.0,t,0.4984,0.005000224417405928,10000,1.0,0.0,0.5,0.9999999999999993
1.5707963267948966,0.0,n,nan,nan,0,0.0,0.0,nan,6.661338147750939e-16
0.0,0.02,t,1.0,0.0,8714,0.8714,0.003347566877599311,0.999940504592421,0.8681782399999997
0.0,0.02,n,0.9409020217729394,0.006578198113869687,1286,0.1286,0.0033475668775993107,0.9423680000000006,0.13182176000000034
