state,n,gamma,R,closed,concurrence
Phi+ x 0,3,1.0,2.220446049250313e-16,0.0,nan
00+,3,0.0,6.661338147750939e-16,0.0,nan
00+,3,0.025,0.012420882906576391,0.012420882906574948,nan
00+,3,0.05,0.024679434480897156,0.02467943448089638,nan
00+,3,0.07500000000000001,0.0367692030835689,0.03676920308356724,nan
00+,3,0.1,0.04868329805051452,0.048683298050513746,nan
00+,3,0.125,0.06041434669348611,0.06041434669348533,nan
00+,3,0.15000000000000002,0.07195444572929022,0.07195444572928877,nan
00+,3,0.17500000000000002,0.0832951062292484,0.08329510622924752,nan
00+,3,0.2,0.09442719099991681,0.09442719099991581,nan
00+,3,0.225,0.10534084308295166,0.10534084308295044,nan
00+,3,0.25,0.11602540378443993,0.1160254037844386,nan
00+,3,0.275,0.12646931829632146,0.12646931829632002,nan
00+,3,0.30000000000000004,0.13666002653407738,0.1366600265340756,nan
00+,3,0.325,0.1465838362577505,0.14658383625774918,nan
00+,3,0.35000000000000003,0.15622577482985567,0.156225774829855,nan
00+,3,0.375,0.16556941504209544,0.16556941504209488,nan
00+,3,0.4,0.17459666924148398,0.17459666924148343,nan
00+,3,0.42500000000000004,0.18328754440515715,0.18328754440515505,nan
00+,3,0.45,0.19161984870956705,0.19161984870956628,nan
00+,3,0.47500000000000003,0.1995688373094726,0.19956883730947195,nan
00+,3,0.5,0.20710678118654813,0.20710678118654757,nan
00+,3,0.525,0.21420243760451263,0.21420243760451108,nan
00+,3,0.55,0.22082039324993818,0.22082039324993696,nan
00+,3,0.5750000000000001,0.22692024052026594,0.22692024052026494,nan
00+,3,0.6000000000000001,0.23245553203367653,0.23245553203367586,nan
00+,3,0.625,0.23737243569579558,0.23737243569579447,nan
00+,3,0.65,0.2416079783099625,0.2416079783099616,nan
00+,3,0.675,0.24508771254956985,0.24508771254956896,nan
00+,3,0.7000000000000001,0.24772255750516647,0.24772255750516614,nan
00+,3,0.7250000000000001,0.24940442408507768,0.2494044240850758,nan
00+,3,0.75,0.25000000000000155,0.25,nan
00+,3,0.775,0.24934164902525713,0.2493416490252569,nan
00+,3,0.8,0.24721359549995992,0.24721359549995792,nan
00+,3,0.8250000000000001,0.24333001326703863,0.24333001326703774,nan
00+,3,0.8500000000000001,0.23729833462074246,0.23729833462074168,nan
00+,3,0.875,0.22855339059327462,0.2285533905932738,nan
00+,3,0.9,0.21622776601683813,0.2162277660168379,nan
00+,3,0.925,0.19886127875258341,0.19886127875258303,nan
00+,3,0.9500000000000001,0.17360679774997956,0.1736067977499789,nan
00+,3,0.9750000000000001,0.13311388300841998,0.13311388300841878,nan
00+,3,1.0,4.440892098500626e-16,0.0,nan
