n,alpha,gamma,p0,pn,c,R,neg,R_env,neg_env,purity,purity_env,x,z,p_success,witness
2,0.2,0.1625,0.06535000000000013,0.6733500000000002,0.1641158127664732,0.197531625532946,0.03346581276647331,0.012986733312362775,2.220446049250313e-16,0.5456776900000005,0.5456776900000005,0.4443368424704836,-0.8230675511032892,0.7387000000000004,0.19753162553294623
2,0.2,0.165,0.06613600000000008,0.6693360000000005,0.16362591481791652,0.19497982963583294,0.031361914817916836,0.012394529209476035,2.220446049250313e-16,0.5409190627840008,0.5409190627840007,0.44495484482867165,-0.8201535884438835,0.7354720000000006,0.19497982963583294
2,0.2,0.1675,0.06693400000000012,0.6653340000000006,0.1631360168693599,0.19240403373871962,0.02927001686936026,0.011778325106589271,5.551115123125783e-16,0.5362164238240011,0.5362164238240013,0.44556369217106234,-0.817187150059814,0.7322680000000008,0.1924040337387194
2,0.2,0.17,0.06774400000000011,0.661344,0.1626461189208032,0.18980423784160605,0.027190118920803252,0.011138121003702484,1.1102230246251565e-16,0.5315693117440001,0.5315693117440001,0.4461632036758338,-0.8141678370786514,0.7290880000000002,0.18980423784160605
2,0.2,0.17250000000000001,0.06856600000000007,0.6573660000000001,0.16215622097224655,0.1871804419444929,0.02512222097224659,0.010473916900815672,1.1102230246251565e-16,0.5269772686240003,0.5269772686240002,0.4467531971927026,-0.8110952541009349,0.7259320000000002,0.18718044194449313
2,0.2,0.17500000000000002,0.0694000000000001,0.6534000000000003,0.16166632302368997,0.18453264604737973,0.02306632302369016,0.009785712797929058,2.220446049250313e-16,0.5224398400000005,0.5224398400000007,0.44733348927418337,-0.8079690094078581,0.7228000000000004,0.18453264604737973
2,0.2,0.1775,0.07024600000000013,0.6494460000000005,0.1611764250751334,0.18186085015026654,0.021022425075133744,0.00907350869504242,4.440892098500626e-16,0.5179565748640009,0.5179565748640009,0.4479038952083204,-0.8047887151726014,0.7196920000000007,0.18186085015026654
2,0.2,0.18,0.07110400000000013,0.6455040000000004,0.16068652712657677,0.17916505425315332,0.018990527126577117,0.008337304592155537,3.3306690738754696e-16,0.5135270256640008,0.5135270256640008,0.4484642290529178,-0.8015539876752699,0.7166080000000006,0.1791650542531531
2,0.2,0.1825,0.07197400000000011,0.641574,0.16019662917802002,0.17644525835603986,0.016970629178020058,0.007577100489268851,1.1102230246251565e-16,0.5091507483040001,0.5091507483040001,0.44901430367128775,-0.7982644475213998,0.7135480000000001,0.17644525835603986
2,0.2,0.185,0.07285600000000012,0.6376560000000002,0.1597067312294634,0.1737014624589266,0.014962731229463566,0.006792896386382141,2.220446049250313e-16,0.5048273021440005,0.5048273021440004,0.4495539307695389,-0.7949197198639851,0.7105120000000004,0.1737014624589266
