a,kt,gamma,R,neg,margin
1.0,1.5750000000000002,0.7929924473188474,0.0,2.220446049250313e-16,-0.004199342247496237
1.0,1.6,0.7981034820053446,0.0,3.3306690738754696e-16,-0.0038959124169789246
1.0,1.625,0.8030883247958059,0.0,5.551115123125783e-16,-0.0036144073681587206
1.0,1.6500000000000001,0.8079500913792459,0.0,3.3306690738754696e-16,-0.003353242892747189
1.0,1.675,0.812691820518043,0.0,1.2212453270876722e-15,-0.0031109492518237216
1.0,1.7000000000000002,0.8173164759472654,0.0,4.440892098500626e-16,-0.00288616290467815
1.0,1.725,0.8218269482271016,0.0,2.220446049250313e-16,-0.0026776188352982525
1.0,1.75,0.8262260565495548,0.0,2.220446049250313e-16,-0.0024841434333186
1.0,1.7750000000000001,0.83051655050053,0.0,4.440892098500626e-16,-0.00230464788936717
1.0,1.8,0.8347011117784134,0.0,2.220446049250313e-16,-0.002138122067641246
1.0,1.8250000000000002,0.8387823558702232,0.0,5.551115123125783e-16,-0.0019836288212294957
1.0,1.85,0.8427628336863724,0.0,7.771561172376096e-16,-0.0018402987181892544
1.0,1.875,0.8466450331550716,0.0,5.551115123125783e-16,-0.0017073251486988653
1.0,1.9000000000000001,0.8504313807773649,0.0,2.220446049250313e-16,-0.001583959785750301
1.0,1.925,0.8541242431437727,0.0,0.0,-0.0014695083738362046
1.0,1.9500000000000002,0.8577259284134865,0.0,1.2212453270876722e-15,-0.0013633268219318084
1.0,1.975,0.8612386877570448,0.0,3.3306690738754696e-16,-0.001264817578784235
1.0,2.0,0.8646647167633873,0.0,6.661338147750939e-16,-0.001173426270110935
1.0,2.025,0.8680061568121697,0.0,4.440892098500626e-16,-0.001088638578782225
1.0,2.0500000000000003,0.8712650964121958,0.0,0.0,-0.0010099773504311771
1.0,2.075,0.8744435725068028,0.0,5.551115123125783e-16,-0.000936999908201899
1.0,2.1,0.8775435717470181,0.0,6.661338147750939e-16,-0.0008692955615247665
1.0,2.125,0.8805670317332803,0.0,6.661338147750939e-16,-0.0008064832948989207
1.0,2.15,0.883515842226503,0.0,2.220446049250313e-16,-0.0007482096236752629
1.0,2.1750000000000003,0.8863918463292363,0.0,2.220446049250313e-16,-0.0006941466047730622
1.0,2.2,0.8891968416376661,0.0,8.881784197001252e-16,-0.0006439899911352917
1.0,2.225,0.8919325813651707,0.0,8.881784197001252e-16,-0.0005974575195365497
1.0,2.25,0.8946007754381357,0.0,1.1102230246251565e-15,-0.0005542873221080497
1.0,2.275,0.8972030915647136,0.0,2.220446049250313e-16,-0.0005142364526402407
1.0,2.3000000000000003,0.8997411562771963,0.0,4.440892098500626e-16,-0.00047707951936968034
